Site ID,Site Name,Address,Billing Status,Has Weather Station Installed?
19553,Peachtree Dr LOA,"299 Peachtree Dr., Lawndale, CA 90260",Paid,TRUE
19348,Holden Residence,"411 Richardson Avenue, Hamden, CT 06514",Paid,FALSE
19336,RAB West,"9219 Saxon Road, Moncks Corner, SC 29461",Paid,TRUE
34148,Public Library 4,"612 South Magnolia Ave., Danvers, MA 01923",Unpaid,FALSE
21004,Courthouse,"9279 Country Dr., Romeoville, IL 60446",Paid,TRUE
25705,Southside Docks,"62 Swanson Court, South Portland, ME 04106",Paid,TRUE
24747,Pollos Hermanos,"922 Madison Circle, Waterloo, IA 50701",Paid,TRUE
28320,West Ballpark,"5 Brewery St., Endicott, NY 13760",Unpaid,FALSE
18606,Richards’ Home,"8707 Green Ave., Grand Island, NE 68801",Unpaid,TRUE
7928,Falling Water,"9956 N. Wentworth St., South Lyon, MI 48178",Paid,TRUE
20393,Westlake,"7604 SW. Plymouth Ave., Bridgewater, NJ 08807",Paid,FALSE
32726,Starcourt Plaza,"187 West White St., Arlington Heights, IL 60004",Paid,TRUE
34482,Chequers West,"97 Wrangler St., Lawrence, MA 01841",Paid,TRUE
15679,Poseda Moneda,"7473 William Road, Edison, NJ 08817",Paid,TRUE
20570,Monument Park,"8689 Wood Lane, Mount Vernon, NY 10550",Paid,FALSE
20571,Village Plaza,"889 E. Buttonwood St., Barberton, OH 44203",Unpaid,TRUE
24624,Twin Lakes,"9897 Arlington Drive, North Fort Myers, FL 33917",Paid,TRUE
29321,Dollywood Downtown,"8899 Shirley Dr., Soddy Daisy, TN 37379",Paid,FALSE
30640,The Farm,"8412 W. Bishop St., Beltsville, MD 20705",Paid,TRUE
7818,BikeMart,"520 Newcastle Avenue, East Orange, NJ 07017",Paid,TRUE
8138,East Fields,"46 Summer St., Burlington, MA 01803",Paid,TRUE
20573,Reading ISD,"347 East Hill Ave., Reading, MA 01867",Paid,TRUE
20574,Semiside Supplies,"1 Hall Rd., Shelton, CT 06484",Unpaid,FALSE
20575,Four Seasons Landscaping,"7697 Lookout Avenue, Kingsport, TN 37660",Paid,TRUE
8783,RAB East,"177 Thatcher St., Niagara Falls, NY 14304",Paid,TRUE
